2019-09-13 00:10:33.888 [main] [AbstractTestContextBootstrapper.java:308] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hrm.user.MybatisApplicationTest], using SpringBootContextLoader 
2019-09-13 00:10:33.917 [main] [AbstractContextLoader.java:264] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.hrm.user.MybatisApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-09-13 00:10:33.918 [main] [AnnotationConfigContextLoaderUtils.java:83] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hrm.user.MybatisApplicationTest]: MybatisApplicationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-09-13 00:10:34.095 [main] [SpringBootTestContextBootstrapper.java:247] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hrm.HrmApplication for test class com.hrm.user.MybatisApplicationTest 
2019-09-13 00:10:34.255 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2019-09-13 00:10:34.287 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17f9d882, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@79e4c792, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@196a42c3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c60d6e9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@15043a2f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4a83a74a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1349883, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b29d1d2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7f485fda, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@28261e8e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@d737b89, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@8519cb4] 
2019-09-13 00:10:34.869 [main] [StartupInfoLogger.java:50] INFO  com.hrm.user.MybatisApplicationTest - Starting MybatisApplicationTest on DESKTOP-FQS7C7E with PID 3080 (started by tsingsoft in E:\gitworkspace\JavawebCenter\hrm) 
2019-09-13 00:10:34.871 [main] [SpringApplication.java:675] INFO  com.hrm.user.MybatisApplicationTest - No active profile set, falling back to default profiles: default 
2019-09-13 00:10:37.188 [main] [DruidDataSourceAutoConfigure.java:56] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure - Init DruidDataSource 
2019-09-13 00:10:37.495 [main] [DruidDataSource.java:1003] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2019-09-13 00:10:39.172 [main] [ExecutorConfigurationSupport.java:171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2019-09-13 00:10:40.044 [main] [StartupInfoLogger.java:59] INFO  com.hrm.user.MybatisApplicationTest - Started MybatisApplicationTest in 5.681 seconds (JVM running for 8.293) 
